So in came James -- and he recovered <head>from</head> a jittery start to stamp his authority on an emphatic Liverpool win .	10(7)-1
An intellectual ripper , which veers <head>between</head> poetry and pretentiousness .	1(1)
While experience may show that certain tasks were not as good discriminators as others there is likely to be an abundance <head>of</head> evidence over the three-year period for teachers to use .	3(1b)
There was no sign of anything untoward : grass and a few bushes flattened by the weight of wood recently heaped <head>on</head> them ; some traces of sawdust lying on the ground ; nothing more .	5(1d)
The battle <head>for</head> the platform	5(4)
There were three official assurances yesterday that the inquiry by John Stevens , Deputy Chief Constable of Cambridgeshire , into security force collusion <head>with</head> loyalists is proceeding apace .	1(1)
Common sense told her that by immersing herself <head>in</head> work the memory of the last months would recede , and with it would go her bitterness and sense of loss .	2(1a)
First they had to prepare a claim for payment <head>for</head> furniture , bedding and carpets from the Department of Health and Social Security .	9(8)
Kirov crouched <head>at</head> his side , removing a couple of pins and replacing them in exactly the same position .	1(1)
The first Australian team was South Sydney , named the Rabbitohs these days , because in the hard times of the Thirties the sand-dune dwellers <head>of</head> that part of the city subsisted by rabbit hunting .	9(5)
In the ensuing pandemonium the young musicians played on , but Matron came and took Anna away , scolding her gently <head>for</head> bad behaviour which would not be tolerated once she was settled in .	6(5)
Beakers containing the fluids are placed in a ventilated oven and dried at 100dC for at least 24 hr , cooled <head>in</head> a desiccator , and weighed to 0.001 g	1(1)
GABRIEL DID get a pair of wings made from filigree wire quilted with the tips <head>of</head> peacock feathers .	2(1a)
At one thirty-five by his watch , a small Citroen drove slowly down the slope from the road , crunching <head>across</head> the gravel and stopping within feet of his hiding place .	1(1)
For example , on 11th Night a vehicle was called to some youths at a bonfire near to a middle-class suburban area , and a young recruit was keen to act , but an older constable urged <head>against</head> it :	1(1)
Later in the year , when we visit the area again , we heard that the Swedish Lapps had fenced off an area of the Dividal National Park , with over five kilometres <head>of</head> wire .	3(1b)
Among the conventions <head>for</head> the division of time that have come down to us from Imperial Rome is the seven-day week .	2(2)
As Mark strolled <head>from</head> the hotel and crossed the road to the riverside walk , he had a strange feeling that the evening ahead would re-shape his future .	1(1)
"She was brilliant <head>at</head> the job and had a great future . """	8(4a)
"Bloomfield writing long after ` The Deserted Village "" is much more explicit <head>in</head> his critique of wealth than are Duck and Leapor ."	6(4a)
A good example is the placement <head>of</head> bright-yellow bricks and matching shapes on a table covered with a dark cloth or piece of material .	12(6a)
Must he now grind his pride <head>in</head> the dust and sue for the hand of she to whom he owed that indignity ?	1(1)
From then on , every afternoon , as soon as her mother had left for bingo , Matilda would toddle <head>down</head> to the library .	3(1b)
There was a firm belief <head>among</head> old-time ferreters that the ferrets needed to be vicious and half-starved to do their work well .	3(3)
More glass covered the road ; she heard it crunching <head>beneath</head> the tyres .	1(1)
The complete range of Dorman Long lintels are galvanised <head>after</head> fabrication ( especially at the danger points of edges , welds , and internal surfaces ) , this provides better protection against corrosion and staining .	1(1)
If this decoy assault should fail to draw the English troops from the camp <head>at</head> Belmont , he knew the islanders could not match the outsiders ' firepower in open battle .	1(1)
The long , stout spines are an unusual feature which discriminates this species <head>from</head> other gastropods .	14(11)
In the middle of this he was trying really to listen to the distress <head>of</head> the family and demonstrate something of the compassion of God at the same time .	11(6)
She had a cup <head>of</head> Bovril , and she met Ken from Coronation Street .	3(1b)-1
Sweating with fear , Lepine dashed <head>along</head> the verandah and flung himself behind the wheel of the Citron .	1(1)
She expressed a warm opinion of the piece and asked <head>for</head> more of her work .	5(4)
As he pedalled slowly <head>towards</head> the farmhouse , logic told the village constable he was on a fool 's errand .	1(1)
Please contact me <head>with</head> any bright ideas for a venue .	4(3)-1
Fears were expressed by puritan divines that to thirst <head>after</head> natural knowledge was to run the risk of elevating reason at the expense of faith .	7(3)
Another Sussex colleague , John Harrison , erm followed this through erm for the nineteenth century , and he 's written <head>about</head> the Shakers and I 've been interested in the Muddletonians and the Ranters .	1(1)
Their doctor had murmured something <head>about</head> a weak heart , but Lord Grafton had dismissed the warning , saying the physician was an old woman .	1(1)
He was getting nearer to himself , travelling <head>on</head> a long loop of bumpy path through the trees .	1(1)
It was full of trees and boulders , but with a team of local men Jack set about getting the field cleared <head>of</head> rocks , fences and walls .	14(7)
Toward the heart of the village one might see some Pipistrelle Bats flying aerobatically <head>around</head> the Kirk taking insects .	4(3)
By allowing an intent to cause grievous bodily harm to suffice <head>for</head> a murder conviction , the law is violating a general principle , turning the most serious of its offences into a constructive crime .	11(9)
The draft Approved Document also contains a provision requiring that the first occupants <head>of</head> a dwelling must receive instructions on how to look after the smoke detector system that has been installed .	9(5)
I have always hated that vulgar pomp with which the rite <head>of</head> marriage is coupled .	9(5)
The Volvo fared little better but Donna closed her eyes tightly as the impact hurled her forward again and sent her crashing against the steering column with enough force to knock the breath <head>from</head> her .	12(9)-1
